Country,FechasF,AD,Years,Months,Days
 Lithuania,1918-02-16,2022-06-01,104,1251,38091
 Lithuania,1990-03-11,2022-06-01,32,386,11770
 Madagascar,1960-06-26,2022-06-01,61,743,22620
 Malawi,1964-07-06,2022-06-01,57,694,21149
 Malaysia,1957-08-31,2022-06-01,64,777,23650
 Maldives,1965-07-26,2022-06-01,56,682,20764
 Mali,1960-09-22,2022-06-01,61,740,22532
 Malta,1964-09-21,2022-06-01,57,692,21072
 Marshall Islands,1979-05-01,2022-06-01,43,517,15737
 Mauritania,1960-11-28,2022-06-01,61,738,22465
 Mauritius,1968-03-12,2022-06-01,54,650,19804
 Mexico,1810-09-16,2022-06-01,211,2540,77325
 Micronesia,1986-11-03,2022-06-01,35,426,12994
 Moldova,1991-08-27,2022-06-01,30,369,11236
 Mongolia,1911-12-29,2022-06-01,110,1325,40332
 Montenegro,2006-05-21,2022-06-01,16,192,5855
 Morocco,1944-01-11,2022-06-01,78,940,28631
 Morocco,1955-11-18,2022-06-01,66,798,24302
 Mozambique,1975-06-25,2022-06-01,46,563,17143
 Myanmar,1948-01-04,2022-06-01,74,892,27177
 Namibia,1990-03-21,2022-06-01,32,386,11760
 Nauru,1968-01-31,2022-06-01,54,652,19845
 Netherlands,1581-07-26,2022-06-01,440,5290,161017
 Nicaragua,1821-09-15,2022-06-01,200,2408,73308
 Niger,1960-08-03,2022-06-01,61,741,22582
 Nigeria,1960-10-01,2022-06-01,61,740,22523
 North Macedonia,1991-09-08,2022-06-01,30,368,11224
 Norway,1814-05-17,2022-06-01,208,2496,75986
 Norway,1905-06-07,2022-06-01,116,1403,42728
 Oman,1650-11-18,2022-06-01,371,4458,135700
 Pakistan,1947-08-14,2022-06-01,74,897,27320
 Palestine,1988-11-15,2022-06-01,33,402,12251
 Panama,1821-11-28,2022-06-01,200,2406,73234
 Panama,1903-11-03,2022-06-01,118,1422,43310
 Papua New Guinea,1975-09-16,2022-06-01,46,560,17060
 Peru,1821-07-28,2022-06-01,200,2410,73357
 Philippines,1898-06-12,2022-06-01,123,1487,45279
 Philippines,1946-07-04,2022-06-01,75,910,27726
 Poland,1918-11-11,2022-06-01,103,1242,37823
 Portugal,1640-12-01,2022-06-01,381,4578,139339
 Qatar,1878-12-18,2022-06-01,143,1721,52395
 Qatar,1971-12-18,2022-06-01,50,605,18428
 Queensland,1859-12-10,2022-06-01,162,1949,59343
 Romania,1877-05-09,2022-06-01,145,1740,52983
 Russia,1992-06-12,2022-06-01,29,359,10946
 Rwanda,1962-07-01,2022-06-01,59,719,21885
 Saint Kitts and Nevis,1983-09-19,2022-06-01,38,464,14135
 Saint Lucia,1979-02-22,2022-06-01,43,519,15805
 Saint Vincent and the Grenadines,1979-10-27,2022-06-01,42,511,15558
 Samoa,1962-06-01,2022-06-01,60,720,21915
 São Tomé and Príncipe,1975-07-12,2022-06-01,46,562,17126
 Saudi Arabia,1932-09-23,2022-06-01,89,1076,32758
 Senegal,1960-04-04,2022-06-01,62,745,22703
 Seychelles,1976-06-29,2022-06-01,45,551,16773
 Sierra Leone,1961-04-27,2022-06-01,61,733,22315
 Singapore,1965-08-09,2022-06-01,56,681,20750
 Slovakia,1992-07-17,2022-06-01,29,358,10911
 Solomon Islands,1978-07-07,2022-06-01,43,526,16035
 Somalia,1960-07-01,2022-06-01,61,743,22615
 Somaliland,1991-05-18,2022-06-01,31,372,11337
 South Africa,1931-12-11,2022-06-01,90,1085,33045
 South Sudan,2011-07-09,2022-06-01,10,130,3980
 Spain,1492-10-12,2022-06-01,529,6355,193445
 Sri Lanka,1948-02-04,2022-06-01,74,891,27146
 Sudan,1956-01-01,2022-06-01,66,797,24258
 Suriname,1975-11-25,2022-06-01,46,558,16990
 Sweden,1905-06-06,2022-06-01,116,1403,42729
  Switzerland,1291-08-01,2022-06-01,730,8770,266931
 Syria,1946-04-17,2022-06-01,76,913,27804
 Tajikistan,1991-09-09,2022-06-01,30,368,11223
 Tanzania,1961-12-09,2022-06-01,60,725,22089
 Togo,1960-04-27,2022-06-01,62,745,22680
 Tonga,1970-06-04,2022-06-01,51,623,18990
 Trinidad and Tobago,1962-08-31,2022-06-01,59,717,21824
 Tunisia,1956-03-20,2022-06-01,66,794,24179
 Turkey,1923-10-29,2022-06-01,98,1183,36010
 Turkmenistan,1991-09-27,2022-06-01,30,368,11205
 Tuvalu,1978-10-01,2022-06-01,43,524,15949
 Uganda,1962-10-09,2022-06-01,59,715,21785
 Ukraine,1991-08-24,2022-06-01,30,369,11239
 Ukraine,1919-01-22,2022-06-01,103,1240,37751
 United Arab Emirates,1971-12-02,2022-06-01,50,605,18444
 United States,1776-07-04,2022-06-01,245,2950,89816
 Uruguay,1825-08-25,2022-06-01,196,2361,71868
 Uzbekistan,1991-09-01,2022-06-01,30,369,11231
 Vanuatu,1980-07-30,2022-06-01,41,502,15281
  Vatican City,1929-02-11,2022-06-01,93,1119,34078
 Venezuela,1811-07-05,2022-06-01,210,2530,77033
 Vietnam,1945-09-02,2022-06-01,76,920,28031
 Yemen,1967-11-30,2022-06-01,54,654,19907
 Zambia,1964-10-24,2022-06-01,57,691,21039
 Zimbabwe,1980-04-18,2022-06-01,42,505,15384
